quarter,portfolio_type,gross_return,predicted_portfolio_return,avg_predicted_return,avg_actual_return,avg_prob_up,avg_final_score,number_of_holdings,turnover,transaction_cost,net_return
2022Q1,Equal_Weight,0.05586506960253716,0.029767404164809125,0.029767404164809125,0.05586506960253716,0.5,0.6883522727272727,8,1.0,0.001,0.05486506960253716
2022Q1,Full_Universe,-0.0012540671465755269,0.015400345577272805,0.015400345577272805,-0.0012540671465755269,0.5,0.47045454545454546,22,0.0,0.0,-0.0012540671465755269
2022Q1,Long_Short,0.04735563013812273,0.013343532309694395,0.015256579499658415,-0.016016628376891155,0.5,0.4725,20,1.0000000000000002,0.0010000000000000002,0.04635563013812273
2022Q1,ML_Optimized,0.08549370065461935,0.031351090204581746,0.029767404164809125,0.05586506960253716,0.5,0.6883522727272727,8,1.0000000000000002,0.0010000000000000002,0.08449370065461935
2022Q1,ML_Score_Weight,0.04996886541208305,0.030651676163650766,0.029767404164809125,0.05586506960253716,0.5,0.6883522727272727,8,0.9999999999999999,0.0009999999999999998,0.04896886541208305
2022Q1,Market_Cap_Weight,-0.031180259683390676,0.027464617615864374,0.029767404164809125,0.05586506960253716,0.5,0.6883522727272727,8,1.0000000000000002,0.0010000000000000002,-0.03218025968339067
2022Q2,Equal_Weight,0.012084092929093775,0.03386729474387894,0.03386729474387894,0.012084092929093775,0.5,0.7966176470588235,8,1.0,0.001,0.011084092929093774
2022Q2,Full_Universe,0.017945059771118838,0.008323394617668132,0.008323394617668132,0.017945059771118838,0.5,0.4552941176470588,85,0.0,0.0,0.017945059771118838
2022Q2,Long_Short,0.02256494782033601,0.03181841879279868,0.00393226794040401,0.04146328541914732,0.5,0.4439705882352941,20,1.0,0.001,0.02156494782033601
2022Q2,ML_Optimized,-0.001274863721160202,0.03227095209935333,0.03386729474387894,0.012084092929093775,0.5,0.7966176470588235,8,1.0,0.001,-0.002274863721160202
2022Q2,ML_Score_Weight,0.0039052876618952646,0.034406396950528356,0.03386729474387894,0.012084092929093775,0.5,0.7966176470588235,8,0.9999999999999999,0.0009999999999999998,0.0029052876618952646
2022Q2,Market_Cap_Weight,0.03533673071379168,0.03271351178290168,0.03386729474387894,0.012084092929093775,0.5,0.7966176470588235,8,1.0,0.001,0.03433673071379168
2022Q3,Equal_Weight,0.02214586317941384,0.05349535735233417,0.05349535735233416,0.022145863179413843,0.5,0.8259216441875401,15,0.9999999999999999,0.0009999999999999998,0.02114586317941384
2022Q3,Full_Universe,-0.03365086001252624,0.004083955543288272,0.004083955543288272,-0.03365086001252624,0.5,0.4508670520231214,519,0.0,0.0,-0.03365086001252624
2022Q3,Long_Short,0.10048505308380268,0.07864036462501442,-0.0185101561893802,-0.08604939897624382,0.5,0.4133333333333334,20,1.0,0.001,0.09948505308380268
2022Q3,ML_Optimized,0.0038851632728099687,0.05440598517872071,0.05349535735233416,0.022145863179413843,0.5,0.8259216441875401,15,1.0,0.001,0.0028851632728099687
2022Q3,ML_Score_Weight,0.02403508064300691,0.05360023454654158,0.05349535735233416,0.022145863179413843,0.5,0.8259216441875401,15,1.0,0.001,0.023035080643006908
2022Q3,Market_Cap_Weight,0.01563174255579349,0.04613806801766704,0.05349535735233416,0.022145863179413843,0.5,0.8259216441875401,15,1.0,0.001,0.01463174255579349
2022Q4,Equal_Weight,0.09932919764118536,0.06233058833463001,0.06233058833463001,0.09932919764118536,0.5,0.7868010752688172,15,1.0,0.001,0.09832919764118536
2022Q4,Full_Universe,0.05357604515891544,0.01581728440887776,0.01581728440887776,0.05357604515891544,0.5,0.45181451612903223,248,0.0,0.0,0.05357604515891544
2022Q4,Long_Short,0.08267891552948475,0.062878053733292,0.0064133743496730495,0.021426635392305632,0.5,0.41211693548387096,20,1.0,0.001,0.08167891552948475
2022Q4,ML_Optimized,0.11087983562165085,0.059570967055959115,0.06233058833463001,0.09932919764118536,0.5,0.7868010752688172,15,1.0000000000000002,0.0010000000000000002,0.10987983562165085
2022Q4,ML_Score_Weight,0.09825500140965303,0.06287502284036993,0.06233058833463001,0.09932919764118536,0.5,0.7868010752688172,15,0.9999999999999999,0.0009999999999999998,0.09725500140965303
2022Q4,Market_Cap_Weight,0.11463509159273517,0.054137316433558555,0.06233058833463001,0.09932919764118536,0.5,0.7868010752688172,15,1.0,0.001,0.11363509159273517
2023Q1,Equal_Weight,0.0003860221259967085,0.03181283723077249,0.03181283723077249,0.00038602212599670875,0.5,0.7756369426751593,12,1.0,0.001,-0.0006139778740032915
2023Q1,Full_Universe,-0.02780563137706013,0.008836461140192913,0.008836461140192913,-0.02780563137706013,0.5,0.4528662420382165,157,0.0,0.0,-0.02780563137706013
2023Q1,Long_Short,0.026034311404900222,0.035747065699262504,-0.0021896990343954347,-0.04034834661174202,0.5,0.39828025477707,20,1.0,0.001,0.02503431140490022
2023Q1,ML_Optimized,0.005731260748431707,0.029464407455681404,0.03181283723077249,0.00038602212599670875,0.5,0.7756369426751593,12,1.0000000000000002,0.0010000000000000002,0.004731260748431707
2023Q1,ML_Score_Weight,-0.0006570341201211729,0.032005779796481566,0.03181283723077249,0.00038602212599670875,0.5,0.7756369426751593,12,0.9999999999999999,0.0009999999999999998,-0.0016570341201211727
2023Q1,Market_Cap_Weight,-0.03886727690160314,0.0334925668438791,0.03181283723077249,0.00038602212599670875,0.5,0.7756369426751593,12,0.9999999999999999,0.0009999999999999998,-0.03986727690160314
